,synonyms,analysis
155,"Синонимы:Анализ крови на свободный тестостерон; Тестостерон свободный; Тестостерон прямой. Testosterone Free, Testosterone Direct, Unbound Testosterone.",Свободный тестостерон (Free Testosterone)
156,Синонимы:3-альфа-диол глюкуронид.,"Андростендиол глюкуронид (Androstanediol glucuronide , 3-alpha-diol-G)"
157,Синонимы:Анализ крови на андростендион.,Андростендион (Androstenedione)
158,Синонимы: Дегидроэпиандростерон неконъюгированный; ДГА; ДЭА.,"Дегидроэпиандростерон (ДГЭА), дегидроэпиандростерон неконъюгированный (ДГЭА неконъюгированный) (Dehydroepiandrosterone unconjugated (DHEA unconjugated))"
159,"Синонимы:Анализ слюны на стероидный профиль, 8 параметров; Стероидный профиль, 8 показателей в слюне.","Стероидный профиль, слюна, 8 параметров (тестостерон, дегидроэпиандростерон, андростендион, кортизол, кортизон, эстрадиол, прогестерон, 17-ОН-прогестерон) (Steroid panel, saliva, 8 parameters)"
160,Синонимы:Анализ крови на АМГ; Ингибирующее вещество Мюллера.,"Антимюллеров гормон (АМГ, Anti-Mullerian Hormone, AMH, Mullerian Inhibiting Substance, MIS)"
161,"Синонимы:Ингибитор секреции фолликулостимулирующего гормона; Маркер сперматогенеза у мужчин. Inhibin B, Serum; Serum Inhibin B.",Ингибин В (inhibin B)
162,Синонимы:Бета-ХГЧ общий.Human Chorionic Gonadotropin; hCG; Pregnancy Quantitative hCG; Beta hCG; Total beta hCG.,"Хорионический гонадотропин человека (ХГЧ, бета-ХГЧ, б-ХГЧ, Human Chorionic)"
163,"Синонимы:Анализ крови на PAPP-A; Протеин-А плазмы, ассоциированный с беременностью.","PAPP-A (Ассоциированный с беременностью протеин-А плазмы, Pregnancy-associated)"
164,Синонимы:Анализ крови на свободный ХГЧ; Свободная бета-субъединица хорионического гонадотропина человека; бета-ХГЧ свободный; β-ХГЧ свободный.,"Свободная b-субъединица хорионического гонадотропина человека (свободный b-ХГЧ, free b-HCG)"
165,Синонимы: Prenatal Screening Markers for Down Syndrome; PRISCA-1.,"Пренатальный скрининг трисомий 1 триместра беременности, PRISCA – 1 (биохимический скрининг 1 триместра - «двойной тест» 1 триместра, расчет рисков с использованием программы PRISCA)"
166,Синонимы:Тройной тест второго триместра беременности.,"Пренатальный скрининг трисомий 2 триместра беременности, PRISCA-2 (биохимический скрининг 2 триместра , «тройной тест» 2 триместра , расчет рисков с использованием программы PRISCA)"
167,Синонимы:Анализ крови на С-пептид; Связующий пептид; Соединительный пептид.,С-Пептид (C-Peptide)
168,Синонимы:Анализ крови на инсулин; Гормон поджелудочной железы; Регулятор углеводного обмена.,Инсулин (Insulin)
169,"Синонимы:Анализ крови на инсулинорезистентность; Оценка инсулинорезистентности (глюкоза, инсулин, индекс HOMA-IR); Коэффициент инсулинорезистентности НОМА-IR. Insulin resistance; Insulin Resistance: Fasting Glucose/Insulin.","Индекс инсулинорезистентности HOMA (HOMA-IR, Homeostasis Model Assessment of Insulin Resistance)"
170,Синонимы:Анализ крови на серотонин; 5-гидрокситриптамин; serotonin; 5-HT; 5-Hydroxytryptamine; Enteramine; Thrombocytin; 3-(β-aminoethyl)-5-hydroxyindole; Thrombotonin.,"Серотонин сыворотки крови (Serotonin, serum)"
171,Синонимы:Анализ крови на АДМА.,"Асимметричный диметиларгинин, AДMA (Asymmetric dimethylarginine, ADMA)"
172,Синонимы:Анализ крови на гастрин; Пилорин; Пилорогастрин; Секретин желудочный.,Гастрин (Gastrin)
173,Синонимы:Анализ крови на гастрин; Малый гастрин; Гастрин с нагрузкой; Гастрин-17 после белковой стимуляции.,Гастрин-17 (стимулированный)
174,Синонимы:Анализ крови на эритропоэтин; ЭПО; Гемопоэтин.,Эритропоэтин (Erythropoetin)
175,Синонимы:Анализы для вегетарианцев.,Вегетарианцы (Перекресток)
176,"Синонимы:Микроэлементы; Макроэлементы; Минералы; Нутриенты; Эссенциальные микроэлементы; Общий магний; Ионы магния; Железо сывороточное; Microelements; Macroelements, Micronutrients, Macronutrients, Quasi-essential elements, Essential Elements, Microminerals, Phytochemicals, Phytonutrients, Nutritious, Selenium, Zinc, Calcium, Magnesium, Copper, Iron.",Микро- и макроэлементы (Перекресток)
177,Синонимы:Здоровое питание. Proper nutrition; Good nutrition; Proper Nutrition for Health; Adequate Nutrition.Состав профиля:,Правильное питание (Перекресток)
178,"Синонимы:Витамины и минералы; Витамин Д, 25-гидроксивитамин D, 25-гидроксикальциферол; Неорганический фосфор в крови; Сывороточный фосфор; Сывороточный фосфат; Общий магний; Ионы магния. Vitamine, Nutrition, Nutrient, Diet, Mineral; Vitamin D, 25-Hydroxy; 25-Hydroxycalciferol; 25-OH-D; calcidiol (25-hydroxy-vitamin D); calcifidiol (25-hydroxy-vitamin D); 25(OH)D; Calcium total; Ca; Inorganic Phosphate; Phosphorus; Serum P; PO4; Phosphate; Magnesium; Mg, Serum.Состав профиля:",Витамин D и минеральный обмен (Перекресток)
179,Синонимы:Анализы для веганов; Анализы для вегетарианцев.,Веганы (Перекресток)
180,Синонимы:Жиро- и водорастворимые витамины.,Оценка витаминного статуса (Перекресток)
181,Синонимы:Анализы при нарушении сна; Нарушение сна; Инсомния; Расстройство сна.,Бессонница
182,Синонимы:Анализы крови при стрессе.,Комплексное исследование «Стресс»
183,"Синонимы:Общий анализ крови, ОАК. Full blood count, FBC, Complete blood count (CBC) with differential white blood cell count (CBC with diff), Hemogram.","Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с микроскопией мазка крови при наличии патологических сдвигов)"
184,Синонимы:Общий анализ крови (ОАК); Гемограмма; КАК; Развернутый анализ крови. Full blood count; FBC; Complete Blood Count (CBC); Hemogram; CBC with White Blood Cell Differential Count; Peripheral Blood Smear; Blood Film Examination; Complete blood count (CBC) with differential white blood cell count (CBC with diff).,"Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с обязательной «ручной» микроскопией мазка крови  )"
185,Синонимы:Дифференцированный подсчет лейкоцитов; Лейкоцитограмма; Соотношение различных форм лейкоцитов в крови; Дифференцированный подсчет лейкоцитов; Лейкограмма; Формула крови; Подсчет лейкоцитарной формулы. Differential White Blood Cell Count; Leukocyte differential count; Peripheral differential; WBC differential.,"Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма, Differential White Blood Cell Count)  с микроскопией мазка крови при наличии патологических сдвигов"
186,Синонимы: Дифференцированный подсчет лейкоцитов; Лейкоцитограмма; Соотношение различных форм лейкоцитов в крови; Дифференцированный подсчет лейкоцитов; Лейкограмма; Лейкоформула; Формула крови; Подсчет лейкоцитарной формулы. Differential White Blood Cell Count; WBC Count Differential; Leukocyte differential count; Peripheral differential; WBC differential.,"Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма, Differential White Blood Cell Count) с обязательной «ручной» микроскопией мазка крови"
187,Синонимы:ОАК. CBC without differential.,"Анализ крови. Общий анализ крови (без лейкоцитарной формулы и СОЭ) (Complete Blood Count, CBC)"
188,Синонимы:Реакция оседания эритроцитов; РОЭ.,"СОЭ (Cкорость Оседания Эритроцитов, ESR)"
189,Синонимы:Анализ крови на ретикулоциты; Количество ретикулоцитов; Подсчет количества ретикулоцитов; Ретикулоцитарный индекс.,Ретикулоциты (Reticulocytes)
190,"Синонимы:Общий анализ крови, ОАК. Full blood count, FBC, Complete blood count (CBC) with differential white blood cell count (CBC with diff), Hemogram; Соотношение различных форм лейкоцитов в крови; Лейкограмма; Лейкоформула; Формула крови; Подсчет лейкоцитарной формулы. Differential White Blood Cell Count; Leukocyte differential count; Peripheral differential; WBC differential.","Клинический анализ крови: общий анализ, лейкоформула (с микроскопией мазка крови при наличии патологических сдвигов)"
191,"Синонимы:Анализ крови на тромбоциты; Тромбоциты, микроскопия (метод Фонио).","Тромбоциты, микроскопия (подсчет в окрашенном мазке по методу Фонио)"
192,Синонимы:Анализ крови на осмотическую резистентность эритроцитов; Осмотическая резистентность эритроцитов (ОРЭ); Осмотическая стойкость эритроцитов.,"Определение осмотической резистентности эритроцитов (Osmotic fragility (OF) test, RBC)"
193,Синонимы:Анализ крови на измененный гемоглобин; Электрофорез фракций гемоглобина; Выявление патологических фракций гемоглобина.,Электрофорез гемоглобина (Hemoglobin Electrophoresis)
194,Синонимы:Анализ крови на активность глюкозо-6-фосфатдегидрогеназа эритроцитов; Активность фермента глюкозо-6-фосфатдегидрогеназы в эритроцитах; Анализ активности фермента G6PD.,"Глюкозо-6-фосфатдегидрогеназа эритроцитов, активность (Г6ФД, Glucose-6-phosphate dehydrogenase, G6PD, activity)"
195,"Синонимы:Прямая реакция Кумбса; Прямая антиглобулиновая реакция. Coombs test; direct Coombs; Antihuman globulin test (Coombs), Direct.","Прямой антиглобулиновый тест, полиспецифичный (ПАГТ, прямая проба Кумбса, Direct Antiglobulin Test, DAT, Direct Coombs Test Polyspecific)"
196,"Синонимы:Анализ крови на определение группы; Группа крови АВ0; Группа крови по системе АВО; Определение группы крови. ABO Grouping, Blood Typing, Blood Group, Blood Type.","Группа крови (Blood group, АВ0)"
197,Синонимы:Анализ крови на резус-фактор; Резус-принадлежность; Резус-фактор крови; Резус. Rh; Rh type; Rh typing; Rh-factor; Rhesus factor.,"Резус­-принадлежность (Резус­фактор, Rh­factor, Rh)"
198,"Синонимы:Анализ крови на фенотип; Анализ крови на эритроцитарные антигены; Фенотипирование эритроцитов по антигенам (C, E, c, e); Антигены системы KELL.","Rh (C, E, c, e), Kell – фенотипирование (Rh C, E, c, e, Kell phenotyping)"
199,Синонимы:Анализ крови на аллоиммунные антитела; Титр антирезусных антител.,"Аллоиммунные антитела (включая антитела к Rh-антигену), (Непрямой антиглобулиновый тест (НАГТ), Непрямая проба Кумбса)"
200,Синонимы:Анализ крови на АЧТВ; Активированное парциальное тромбопластиновое время; Кефалин-каолиновое время. Partial Thromboplastin Time (PTT); Activated Partial Thromboplastin Time; aPTT; APTT.,"АЧТВ (АПТВ, активированное частичное (парциальное) тромбопластиновое время, кефалин­каолиновое время, Activated Partial Thromboplastin Time, APTT)"
201,Синонимы:Анализ крови на протромбин; Протромбин; Протромбиновое время; Протромбиновый индекс; Международное нормализованное отношение; МНО; Фактор свертывания крови II. Prothrombin; PT; Protime; INR; International normalized ratio; Coagulation Factor II; FII.,"Протромбин, МНО (протромбиновое время, PT, Prothrombin, INR)"
202,Синонимы:Анализ на тромбиновое время; ТВ; Антитромбин I.,Тромбиновое время (Thrombin Time)
203,Синонимы:Анализ крови на фибриноген; Фибриноген; Фактор I (первый) свертывающей системы плазмы. Fibrinogen; Fibrinogen Activity and Fibrinogen Antigen Assays; Factor I Activity; Factor I; Fibrinogen Activity; Functional Fibrinogen; Fibrinogen Antigen.,Фибриноген (Fibrinogen)
204,Синонимы:Фрагмент расщепления фибрина.,D-димер (D-dimer)
205,Синонимы:Анализ крови на антитромбин; АТ3.,"Антитромбин III, % активности (АТ III, Antithrombin III, % Activity)"
206,Синонимы: Аутоантитела (IgG) против фосфолипидов;,"Волчаночный антикоагулянт (ВА, Lupus anticoagulants, LA)"
207,Синонимы:Анализ крови на протеин С; Активность протеина C (%); ПС (% активности). Protein C; PC; Coagulation protein С; Protein C (% Activity).,"Протеин C, % активности (Protein C, % Activity)"
208,Синонимы:Профибринолизин.,"Плазминоген, % активности  (Plasminogen, % Activity)"
209,Синонимы: Фактор свертывания VIII; Антигемофилический фактор (АГФ); Антигемофильный глобулин.,"Фактор VIII, активность % (Factor VIII, FVIII, Activity %)"
210,Синонимы: Фактор свертывания крови IX; Антигемофильный глобулин B.,"Фактор свертывания IX, активность, % (FIX активность, фактор Кристмаса, Coagulation Factor IX Activity, %, Christmas Factor)"
211,Синонимы: Активность Xa; Анти-Xa;,"Анти-Ха активность, МЕ/мл (Гепарин, концентрация, anti-Xa activity, IU/ml, Heparin concentration, IU/ml)"
212,"Синонимы: Фактор фон Виллебранда, антиген; Антиген фактора Виллебранда;","Фактор Виллебранда, антиген (Von Willebrand factor, VWF, antigen)"
213,"Синонимы:Гемостазиограмма, коагулограмма.","Гемостазиограмма (коагулограмма), скрининг"
214,Синонимы: Иммунограмма; Иммунофенотипирование;,Иммунологическое обследование скрининговое
215,Синонимы:Cкрининговая оценка состояния звеньев иммунитета; Иммунограмма; Иммунофенотипирование; Клеточный иммунитет; Гуморальный иммунитет; Фагоцитоз. Immune Status Panel; Immunophenotyping; Human Leukocyte Differentiation Antigens; Lymphocyte subsets; Lymphocyte activity; Phagocytosis; Immunoglobulins.,Иммунологическое обследование расширенное
216,Синонимы:Иммунофенотипирование; Клеточный иммунитет; Субпопуляции лимфоцитов.,"Фенотипирование лимфоцитов (основные субпопуляции) – CD3, CD4, CD8, CD19, CD16, 56 (Lymphocyte phenotyping (main subsets panel): CD3, CD4, CD8, CD19, CD16, 56)"
217,Синонимы:TREC и KREC в крови методом ПЦР; анализ TREC и KREC для диагностики первичных иммунодефицитных состояний; TREC/KREC для постнатальной диагностики первичных иммунодефицитных состояний.,Исследование TREC и KREC для диагностики иммунодефицитов (TREC and KREC analysis for immunodeficiency diagnostics)
218,Синонимы:Анализ крови на активность фагоцитоза.,Фагоцитарная активность лейкоцитов (Phagocytic activity of leucocytes)
219,Синонимы:Анализ крови на IgA; Иммуноглобулин A.,Иммуноглобулины класса A (IgA)
220,Синонимы:Анализ крови на IgМ; Иммуноглобулин М.,Иммуноглобулины класса М (IgM)
221,Синонимы:Антитела класса G; IgG общий.,Иммуноглобулины класса G (IgG)
222,"Синонимы:Анализ крови на 4 подкласса IgG (IgG 1, IgG 2, IgG 3, IgG 4).","Подклассы иммуноглобулина G: IgG1, IgG2, IgG3, IgG4 (Subclasses of immunoglobulin G: IgG1, IgG2, IgG3, IgG4)"
223,Синонимы: C3 и C4 компоненты системы комплемента;,"Компоненты системы комплемента С3, С4 (Complement components C3, C4)"
224,Синонимы:С1-ингибитор; Ингибитор С1-эстеразы (антиген); С1-ингибитор (количество); Тест на наследственный ангионевротический отек (НАО).,"Ингибитор С1-эстеразы, концентрация (C1-Esterase Inhibitor, С1-INH, level)"
225,Синонимы:Анализ крови на интерлейкин-6; Интерлейкин-6; ИЛ-6.,"Интерлейкин 6 (ИЛ-6, Interleukin 6, IL-6)"
226,Синонимы:Анализ крови на интерфероновый статус; Интерфероновый статус; Исследование компонентов интерферонового статуса.,Исследование интерферонового статуса
227,Синонимы:Анализ крови на респираторные аллергены.,Респираторная панель PROTIA Allerqy-Q
228,Синонимы:Анализ крови на пищевые и ингаляционные аллергены.,Атопическая панель PROTIA Allerqy-Q
229,Синонимы:Анализ крови на иммуноглобулин Е.Immunoglobulin E; Quantitative IgE.,"IgE общий (Иммуноглобулин Е общий, IgE total)"
230,Синонимы:Специфические иммуноглобулины класса Е к смеси пищевых аллергенов;Анализ крови на аллергию на смесь пищевых аллергенов.,"Смесь пищевых аллергенов 15 (fp15): апельсин, банан, яблоко, персик, IgE (Food Panel 15 (fp15): Orange, Apple, Banana, Peach, IgE)"
231,Синонимы:Специфические иммуноглобулины класса Е к аллергенам какао;Анализ крови на аллергию на какао.,"Какао (f93), IgE (Cocoa (f93), IgE)"
232,Синонимы:Специфические иммуноглобулины класса Е к аллергенам лука;Анализ крови на аллергию на лук.,"Лук (f84), IgE (Onion (f84), IgE)"
233,Синонимы:Анализ крови на аллергию на собак; Аллерген-специфический IgE к эпителию собаки; Аллерген-специфический IgE к эпителию собаки.,"Собака, IgE (Dog Epithelium, IgE, E2)"
234,Синонимы:Специфические иммуноглобулины класса Е к аллергенам пенициллина G;Анализ крови на аллергию на пенициллин G.,"Пенициллин G (с1), IgE (Penicilloyl G (с1), IgE)"
235,"Синонимы: АТ класса G к пищевым аллергенам (до 90 показателей); АТ к пищевым аллергенам, IgG.",Антитела класса IgG к панели пищевых аллергенов
236,"Синонимы:cмесь аллергенов плесени (mm2), IgE: Penicillium chrysogenum, Cladosporium herbarum, Aspergillus fumigatus, Candida albicans, Alternaria alternata (Alternaria tenuis), Setomelanomma rostrata (Helminthosporium halodes); специфические иммуноглобулины класса Е к плесневым аллергенам;","Смесь аллергенов плесени (mm2), IgE (Mixed mold allergen (mm2), IgE)"
237,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам плесени: Penicillium notatum, Cladosporium herbarum, Aspergillus fumigatus, Mucor racemosus, Alternaria alternata (tenuis) (mm1).","Смесь аллергенов плесени (mm1) (Penicillium notatum, Cladosporium herbarum, Aspergillus fumigatus, Mucor racemosus, Alternaria alternata (tenuis), IgE (Mixed mold allergen (mm1) (Penicillium notatum, Cladosporium herbarum, Aspergillus fumigatus, Mucor rac"
238,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам перьев птиц: гуся, курицы, утки, индюка (em1). Specific immunoglobulins class E to goose feathers, chicken feathers, duck feathers, turkey feathers (em1).","Смесь перьев птиц (em1) (гусиные перья, куриные перья, утиные перья, перья индюка), IgE (Mixed epidermal allergen (em1) (goose feathers, chicken feathers, duck feathers, turkey feathers), IgE)"
239,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам перьев декоративных птиц: волнистого попугайчика, длиннохвостого попугая, канарейки, попугая жако (em72). Specific immunoglobulins class E to budgie feathers, long-tailed parrot feathers, canary feathers, jacko parrot feathers (em72).","Смесь перьев декоративных птиц (em72) (перья волнистого попугайчика, перья длиннохвостого попугая, перья канарейки, перья попугая жако), IgE (Mixed epidermal allergen (em72), IgE (budgie feathers, long-tailed parrot feathers, canary feathers, jacko parrot"
240,Синонимы:Специфические иммуноглобулины класса Е к аллергенам эпителия домашних грызунов;Анализ крови на аллергию на эпителий домашних грызунов.,"Смесь аллергенов домашних грызунов: эпителий морской свинки, эпителий кролика, эпителий хомяка, крыса, мышь, IgE (EP70 (E6, E82, E84, E87, E88), Rodents Panel: Guinea Pig Epithelium, Rabbit Epithelium, Hamster Epithelium, Rat, Mouse, IgE)"
241,Синонимы:специфические иммуноглобулины класса Е к аллергенам домашней пыли;,"Домашняя пыль (h2), IgE (House dust (Hollister –Stier) (h2), IgE)"
242,Синонимы:специфические иммуноглобулины класса Е к аллергенам луговых трав (gm1). Specific immunoglobulins class E to Mixed meadow grasses (gm1).,"Смесь луговых трав: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой (gm1), IgE (Mixed meadow grasses: orchard grass, meadow fescue, darnel, timothy grass, bluegrass meadow (gm1), IgE)"
243,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам раннецветущих деревьев: ольхи серой, березы бородавчатой, лещины/орешника, американского ясеня (tm2).","Смесь аллергенов пыльцы деревьев (раннее цветение) (tm2) (ольха серая, береза бородавчатая, лещина/орешник, американский ясень), IgE (Mixed tree pollens allergen (tm2) (alder, warty birch, hazel, American ash), IgE)"
244,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам позднецветущих деревьев: клена ясенелистного, дуба, ивы, тополя трехгранного (tm3).","Смесь аллергенов пыльцы деревьев (позднее цветение) (tm3) (клен ясенелистный, дуб, ива, тополь трехгранный), IgE (Mixed tree pollens allergen (tm3) (ash-leaved maple, oak, willow, three-sided poplar), IgE)"
245,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам раннецветущих деревьев: ольхи серой, лещины/орешника, вяза, ивы, тополя трехгранного (tm5).","Смесь аллергенов пыльцы деревьев (раннее цветение) (tm5) (ольха серая, лещина/орешник, вяз, ива, тополь трехгранный), IgE (Mixed tree pollens allergen (tm5) (gray alder, hazel, elm, willow, three-sided poplar), IgE)"
246,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам позднецветущих деревьев: клена ясенелистного, березы бородавчатой, бука, дуба, грецкого ореха (tm6). Specific immunoglobulins class E to ash-leaved maple, warty birch, beech, oak, walnut (tm6).","Смесь аллергенов пыльцы деревьев (позднее цветение) (tm6) (клен ясенелистный, береза бородавчатая, бук, дуб, грецкий орех), IgE (Mixed tree pollens allergen (tm6) (ash-leaved maple, warty birch, beech, oak, walnut), IgE)"
247,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам ядов насекомых: пчелы медоносной, осы обыкновенной, таракана-прусака, шершня европейского (im100).","Смесь ядов насекомых (im100) (пчела медоносная, оса обыкновенная, таракан-прусак, шершень европейский), IgE (Mixed insects allergen (im100) (bee, wasp, prussian cockroach, hornet), IgE)"
248,Синонимы:специфические иммуноглобулины класса Е к пищевым аллергенам (fm21). Specific immunoglobulins class E to food allergen (fm21).,"Смесь пищевых аллергенов (fm21), IgE (Mixed food allergen (fm21), IgE)"
249,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам яичного белка, молока коровьего, пшеницы, ржи, кукурузы, яичного желтка, α-лактоальбумина, β-лактальбумина, казеина, глютена, сыра Чедер (fm101). Specific immunoglobulins class E to egg white, cow's milk, wheat, rye, corn, egg yolk, α-lactalbumin, β-lactalbumin, casein, gluten, cheddar cheese (fm101).","Смесь пищевых аллергенов (fm101) (яичный белок, молоко коровье, пшеница, рожь, кукуруза, яичный желток, α-лактоальбумин, β-лактальбумин, казеин, глютен, сыр Чедер), IgE (Mixed food allergen (fm101) (egg white, cow's milk, wheat, rye, corn, egg y"
250,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам семян фенхеля, базилика, имбиря, аниса (fm72). Specific immunoglobulins class E to fennel seeds, basil, ginger, anise (fm72).","Смесь пищевых аллергенов (fm72) (семена фенхеля, базилик, имбирь, анис), IgE (Mixed food allergen (fm72) (fennel seeds, basil, ginger, anise), IgE)"
251,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам тмина, кардамона, гвоздики, мускатного ореха (fm71). Specific immunoglobulins class E to cumin, cardamom, cloves, nutmeg (fm71).","Смесь пищевых аллергенов (fm71) (тмин, кардамон, гвоздика, мускатный орех), IgE (Mixed food allergen (fm71) (cumin, cardamom, cloves, nutmeg), IgE)"
252,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам эстрагона, тимьяна, майорана, любистока (fm70). Specific immunoglobulins class E to tarragon, thyme, marjoram, lovage (fm70).","Смесь пищевых аллергенов (fm70) (эстрагон, тимьян, майоран, любисток), IgE (Mixed food allergen (fm70) (tarragon, thyme, marjoram, lovage), IgE)"
253,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам трески, креветки, мидий, тунца, лосося/семги (fm24). Specific immunoglobulins class E to cod, shrimp, mussels, tuna, salmon (fm24).","Смесь пищевых аллергенов (fm24) (треска, креветки, мидии, тунец, лосось/семга), IgE (Mixed food allergen (fm24) (cod, shrimp, mussels, tuna, salmon), IgE)"
254,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам сыров: Швейцарский, Чедер, с плесенью, Эдам, Гауда (fm22). Specific immunoglobulins class E to Swiss cheese, Cheddar cheese, cheese with mold, Edam cheese, Gouda cheese (fm22).","Смесь пищевых аллергенов (fm22) сыр Швейцарский, сыр Чедер, cыр с плесенью, сыр Эдам, сыр Гауда), IgE (Mixed food allergen (fm22) (Swiss cheese, Cheddar cheese, cheese with mold, Edam cheese, Gouda cheese), IgE)"
255,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам апельсина, лимона, грейпфрута, мандарина. (fm18). Specific immunoglobulins class E to orange, lemon, grapefruit, tangerine (fm18).","Смесь пищевых аллергенов (fm18) апельсин, лимон, грейпфрут, мандарин), IgE (Mixed food allergen (fm18) (orange, lemon, grapefruit, tangerine), IgE)"
256,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам пшеницы, ржи, овса, глютена (fm10). Specific immunoglobulins class E to wheat, rye, oats, gluten (fm10).","Смесь пищевых аллергенов (fm10) (пшеница, рожь, овес, глютен), IgE (Mixed food allergen (fm10) (wheat, rye, oats, gluten), IgE)"
257,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам гороха, белой фасоли, томатов, моркови, картофеля (fm7). Specific immunoglobulins class E to peas, white beans, tomatoes, carrots, potatoes (fm7).","Смесь пищевых аллергенов (fm7) (горох, фасоль белая, томаты, морковь, картофель), IgE (Mixed food allergen (fm7) (peas, white beans, tomatoes, carrots, potatoes), IgE)"
258,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам лесного ореха, бразильского ореха, миндаля, кокоса, грецкого ореха (fm6). Specific immunoglobulins class E to hazelnut, brazil nut, almond, coconut, walnut (fm6).","Смесь пищевых аллергенов (fm6) (лесной орех, бразильский орех, миндаль, кокос, грецкий орех), IgE (Mixed food allergen (fm6) (hazelnut, brazil nut, almond, coconut, walnut), IgE)"
259,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам яичного белка, коровьего молока, трески, пшеницы, арахиса, бобов сои (fm5). Specific immunoglobulins class E to egg white, cow's milk, cod, wheat, peanuts, soybeans (fm5).","Смесь пищевых аллергенов (fm5) (яичный белок, молоко коровье, треска, пшеница, арахис, соевые бобы), IgE (Mixed food allergen (fm5) (egg white, cow's milk, cod, wheat, peanuts, soybeans), IgE)"
260,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам трески, крабового мяса, креветок, мидий (fm2). Specific immunoglobulins class E to cod, crabmeat, shrimp, mussels (fm2).","Смесь пищевых аллергенов (fm2) (треска, крабовое мясо, креветки, мидии), IgE (Mixed food allergen (fm2) (cod, crab meat, shrimp, mussels), IgE)"
261,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам трески, лосося/семги, сельди, скумбрии, камбалы (fm4). Specific immunoglobulins class E to cod, salmon, herring, mackerel, flounder (fm4).","Смесь пищевых аллергенов (fm4) (треска, лосось/семга, сельдь, cкумбрия, камбала), IgE (Mixed food allergen (fm4) (cod, salmon, herring, mackerel, flounder), IgE)"
262,"Синонимы:Специфические иммуноглобулины класса Е к аллергенам вишни, персика, абрикоса, сливы (fm104).","Смесь пищевых аллергенов (fm104) (вишня, персик, абрикос, слива), IgE (Mixed food allergen (fm104) (cherry, peach, apricot, plum), IgE)"
263,"Синонимы:специфические иммуноглобулины класса Е к аллергену грибов рода Malassezia (m227). Specific immunoglobulins class E to Yeast, Malassezia spp. (m227).","Грибы рода Malassezia spp. (m227) IgE, (Yeast, Malassezia spp. (m227) IgE"
264,Синонимы:Специфические иммуноглобулины класса Е к аллергенам плесневого гриба Penicillium notatum;Анализ крови на аллергию на плесень Penicillium notatum.,Плесень Penicillium notatum (m1) IgE
265,Синонимы:Специфические иммуноглобулины класса Е к аллергенам плесневого гриба Cladosporium herbarum;Анализ крови на аллергию на плесень Cladosporium herbarum.,Плесень Cladosporium herbarum (m2) IgE
266,Синонимы:Специфические иммуноглобулины класса Е к аллергенам плесени Aspergillus fumigatus; Анализ крови на аллергию на плесень Aspergillus fumigatus.,"Aspergillus fumigatus (m3), IgE"
267,Синонимы:Специфические иммуноглобулины класса Е к аллергенам дрожжеподобных грибов Candida albicans;,"Candida albicans (m5), IgE"
268,Синонимы:Специфические иммуноглобулины класса Е к аллергенам плесени Alternaria alternata (tenuis);Анализ крови на аллергию на плесень Alternaria alternata (tenuis).,"Alternaria alternata (tenuis), (m6), IgE"
269,Синонимы:специфические иммуноглобулины класса Е аллергену яда пятнистой осы (i2). Specific immunoglobulins class E to White-faced hornet (i2).,"Яд осы пятнистой (i2), IgE (White-faced hornet (i2), IgE)"
270,Синонимы:специфические иммуноглобулины класса Е к аллергенам комара (i71). Specific immunoglobulins class E to Mosquito (i71).,"Комар (i71), IgE (Mosquito (i71), IgE)"
271,Синонимы:специфические иммуноглобулины класса Е к аллергенам яда шершня (i75). Specific immunoglobulins class E to European hornet (i75).,"Яд шершня (i75), IgE (European hornet (i75), IgE)"
272,Синонимы:Специфические иммуноглобулины класса Е к аллергенам яда пчелы медоносной;Анализ крови на аллергию на пчелиный яд.,"Яд пчелы медоносной (i1), IgE (Honey Bee Venom (i1), IgE)"
