,Unnamed: 0,source,chapter,analysis_name,analysis_cost,analysis_comment,best_match_synonym,best_match_analysis,similarity,clinic_id
391,391,invitro.by,,"candida albicans m5 ige, immunocap",50.15,,специфические иммуноглобулины класса е к аллергенам дрожжеподобных грибов candida albicans,"candida albicans m5, ige",0.8354199955513246,Инвитро
392,392,invitro.by,,"alternaria alternata m6 ige, immunocap",48.11,,специфические иммуноглобулины класса е к аллергенам плесени alternaria alternata tenuisанализ крови на аллергию на плесень alternaria alternata tenuis,"alternaria alternata tenuis, m6, ige",0.7545285284209152,Инвитро
393,393,invitro.by,,"смесь аллергенов пыльцы раннецветущих луговых трав gx1 состав смеси: ежа сборная, овсяница, плевел, тимофеевка, мятлик, ige, immunocap",48.11,,,,0.489130516601324,Инвитро
394,394,invitro.by,,"смесь аллергенов пыльцы деревьев tx9 – ольха, береза, лещина, дуб, ива, ige, immunocap tree pollen mix: t2, t3, t4, t7, t12 – alder, birch, hazelnut, oak, willow лат alnus incana, betula verrucosa, corylus avellana, quercus alba, salix caprea",44.01,,,,0.4046052264044955,Инвитро
395,395,invitro.by,,"полынь горькая w5 ige, immunocap",42.11,,специфические иммуноглобулины класса е к аллергенам полыни горькойанализ крови на аллергию на полынь горькую,"полынь горькая w5, ige artemisia absinthium, w5, ige",0.7182143547629232,Инвитро
396,396,invitro.by,,"полынь обыкновенная w6, ige, immunocap англ mugwort, лат artemisia vulgaris w6, ige, immunocap",48.11,,специфические иммуноглобулины класса е к аллергенам полыни обыкновеннойанализ крови на аллергию на полынь обыкновенную,"полынь обыкновенная w6, ige artemisia vulgaris, w6, ige",0.7510674918183038,Инвитро
397,397,invitro.by,,"береза t3, ige, immunocap birch, common silver birch, betula verrucosa t3, ige",30.63,,специфические иммуноглобулины класса е к аллергенам березы бородавчатойанализ крови на аллергию на березу бородавчатую,"береза бородавчатая t3, ige birch, t3, ige",0.7307421563959753,Инвитро
398,398,invitro.by,,"phadiatop immunocap фадиатоп иммунокап, ige к смеси ингаляционных аллергенов",83.28,,,,0.5299948214046213,Инвитро
399,399,invitro.by,,"phadiatop infant, immunocap фадиатоп детский, иммунокап, ige к смеси пищевых и ингаляционных аллергенов, наиболее часто вызывающих аллергию у детей",83.28,,,,0.3866416658716259,Инвитро
400,400,invitro.by,,"дуб черешчатый t218, ige quercus robur t218, ige",27.53,,специфические иммуноглобулины класса е к аллергенам дуба черешчатогоанализ крови на аллергию на дуб черешчатый,"дуб черешчатый t218, ige quercus robur t218, ige",1.0000000000000002,Инвитро
401,401,invitro.by,,"эпителий кролика е82, ige rabbit epithelium e82, ige",27.53,,специфические иммуноглобулины класса е к аллергенам эпилелия кроликаанализ крови на аллергию на эпителий кролика,"эпителий кролика е82, ige rabbit epithelium e82, ige",1.0000000000000002,Инвитро
402,402,invitro.by,,"липа t208, ige tilia cordata t208, ige",27.53,,специфические иммуноглобулины класса е к аллергенам липыанализ крови на аллергию на липу,"липа t208, ige tilia cordata t208, ige",1.0000000000000002,Инвитро
403,403,invitro.by,,"дуб t7, ige oak /quercus alba t7, ige",27.53,,специфические иммуноглобулины класса е к аллергенам дуба белогоанализ крови на аллергию на дуб белый,"дуб t7, ige oak /quercus alba t7, ige",1.0000000000000002,Инвитро
404,404,invitro.by,,"яйцо куриное цельное f245, ige whole egg f245, ige",27.53,,специфические иммуноглобулины класса е к аллергенам цельного куриного яйцаанализ крови на аллергию на яйцо куриное,"яйцо куриное цельное f245, ige whole egg f245, ige",1.0000000000000002,Инвитро
405,405,invitro.by,,"лебеда w15, ige scale /atriplex lentiformis w15, ige",27.53,,специфические иммуноглобулины класса е к аллергенам лебедыанализ крови на аллергию на лебеду,"лебеда w15, ige scale /atriplex lentiformis w15, ige",1.0000000000000004,Инвитро
406,406,invitro.by,,"мясо индейки f284, ige turkey meat f284, ige",27.53,,специфические иммуноглобулины класса е к аллергенам мяса индейкианализ крови на аллергию на индейку,"мясо индейки f284, ige turkey meat f284, ige",1.0000000000000002,Инвитро
407,407,invitro.by,,"платан кленолистный, t11, ige platanus acerifolia t11, ige",27.53,,специфические иммуноглобулины класса е к аллергенам платана кленолистногоанализ крови на аллергию на платан кленолистный,"платан кленолистный, t11, ige platanus acerifolia t11, ige",1.0000000000000002,Инвитро
408,408,invitro.by,,"укроп f277, ige dill f277, ige",27.53,,специфические иммуноглобулины класса е к аллергенам укропаанализ крови на аллергию на укроп,"укроп f277, ige dill f277, ige",1.0000000000000002,Инвитро
409,409,invitro.by,,"одуванчик w8, ige dandelion/ taraxacum vulgare, w8, ige",27.53,,специфические иммуноглобулины класса е к аллергенам одуванчикаанализ крови на аллергию на одуванчик,"одуванчик w8, ige dandelion/ taraxacum vulgare, w8, ige",1.0000000000000004,Инвитро
410,410,invitro.by,,"просо f55, ige common millet f55, ige",27.53,,специфические иммуноглобулины класса е к аллергенам просаанализ крови на аллергию на просо пшено анализ на аллергию на пшенную крупу,"просо f55, ige common millet f55, ige",1.0000000000000002,Инвитро
411,411,invitro.by,,"тополь трехгранный  cottonwood/ populus deltoides t14, ige cottonwood/ populus deltoides, t14, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тополя трехгранногоанализ крови на аллергию на тополь трехгранный,"тополь трехгранный  cottonwood/ populus deltoides t14, ige cottonwood/ populus deltoides, t14, ige",1.0000000000000002,Инвитро
412,412,invitro.by,,"сельдерей f85 ige celery, f85, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сельдереяанализ крови на аллергию на сельдерей,"сельдерей f85 ige celery, f85, ige",1.0000000000000002,Инвитро
413,413,invitro.by,,"аскарида p1, ige ascaris lumbricoides p1, ige",27.53,,специфические иммуноглобулины класса е к аллергенам аскаридыанализ крови на аллергию на аскариду,"аскарида p1, ige ascaris lumbricoides p1, ige",1.0000000000000002,Инвитро
414,414,invitro.by,,"сыр чеддер f81, ige cheese, cheddar f81, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сыра чеддер анализ крови на аллергию на сыр чеддер,"сыр чеддер f81, ige cheese, cheddar f81, ige",1.0,Инвитро
415,415,invitro.by,,"сыр швейцарский f70, ige swiss cheese f70, ige",27.53,,специфические иммуноглобулины класса е к аллергенам швейцарского сыра анализ крови на аллергию на швейцарский сыр,"сыр швейцарский f70, ige swiss cheese f70, ige",1.0,Инвитро
416,416,invitro.by,,"глютен f79, ige gluten f79, ige",27.53,,специфические иммуноглобулины класса е к аллергенам глютена анализ крови на аллергию на глютен,"глютен f79, ige gluten f79, ige",1.0,Инвитро
417,417,invitro.by,,"рожь f5, ige rye f5, ige",27.53,,специфические иммуноглобулины класса е к аллергенам ржи анализ крови на аллергию на рожь,"рожь f5, ige rye f5, ige",1.0,Инвитро
418,418,invitro.by,,"дыня f87, ige melon f87, ige",27.53,,специфические иммуноглобулины класса е к аллергенам дыни анализ крови на аллергию к дыне,"дыня f87, ige melon f87, ige",1.0000000000000002,Инвитро
419,419,invitro.by,,"фасоль белая f15, ige white bean f15, ige",27.53,,специфические иммуноглобулины класса е к аллергенам белой фасоли анализ крови на аллергию к белой фасоли,"фасоль белая f15, ige white bean f15, ige",1.0,Инвитро
420,420,invitro.by,,"горох f12, ige pea f12, ige",27.53,,специфические иммуноглобулины класса е к аллергенам гороха анализ крови на аллергию к гороху,"горох f12, ige pea f12, ige",1.0,Инвитро
421,421,invitro.by,,"грецкий орех f256, ige walnut f256, ige",27.53,,специфические иммуноглобулины класса е к аллергенам грецкого ореха анализ крови на аллергию к грецкому ореху,"грецкий орех f256, ige walnut f256, ige",1.0,Инвитро
422,422,invitro.by,,"кокосовый орех f36, ige coconut f36, ige",27.53,,специфические иммуноглобулины класса е к аллергенам кокосового ореха анализ крови на аллергию к кокосовому ореху,"кокосовый орех f36, ige coconut f36, ige",1.0,Инвитро
423,423,invitro.by,,"бразильский орех f18, ige brazil nut f18, ige",27.53,,специфические иммуноглобулины класса е к аллергенам бразильского ореха анализ крови на аллергию к бразильскому ореху,"бразильский орех f18, ige brazil nut f18, ige",1.0000000000000002,Инвитро
424,424,invitro.by,,"камбала f254, ige plaice f254, ige",27.53,,специфические иммуноглобулины класса е к аллергенам камбалы анализ крови на аллергию к камбале,"камбала f254, ige plaice f254, ige",1.0,Инвитро
425,425,invitro.by,,"скумбрия f206, ige mackerel f206, ige",27.53,,специфические иммуноглобулины класса е к аллергенам скумбрии анализ крови на аллергию к скумбрии,"скумбрия f206, ige mackerel f206, ige",1.0,Инвитро
426,426,invitro.by,,"сельдь f205, ige herring f205, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сельди анализ крови на аллергию к сельди,"сельдь f205, ige herring f205, ige",1.0000000000000002,Инвитро
427,427,invitro.by,,"лосось/семга f41, ige salmon f41, ige",27.53,,специфические иммуноглобулины класса е к аллергенам лосося/семги анализ крови на аллергию к лососю/семге,"лосось/семга f41, ige salmon f41, ige",1.0000000000000002,Инвитро
428,428,invitro.by,,"креветка тигровая f179, ige tiger shrimp f179, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тигровой креветки анализ крови на аллергию к тигровой креветке,"креветка тигровая f179, ige tiger shrimp f179, ige",1.0,Инвитро
429,429,invitro.by,,"виноград f259, ige grape f259, ige",27.53,,специфические иммуноглобулины класса е к аллергенам винограда анализ крови на аллергию к винограду,"виноград f259, ige grape f259, ige",1.0000000000000002,Инвитро
430,430,invitro.by,,"анис f271, ige anise f271, ige",27.53,,специфические иммуноглобулины класса е к аллергенам аниса анализ крови на аллергию на анис,"анис f271, ige anise f271, ige",1.0000000000000002,Инвитро
431,431,invitro.by,,"имбирь f270, ige ginger f270, ige",27.53,,специфические иммуноглобулины класса е к аллергенам имбиря анализ крови на аллергию на имбирь,"имбирь f270, ige ginger f270, ige",1.0000000000000002,Инвитро
432,432,invitro.by,,"базилик f269, ige basil f269, ige",27.53,,специфические иммуноглобулины класса е к аллергенам базилика анализ крови на аллергию на базилик,"базилик f269, ige basil f269, ige",1.0000000000000002,Инвитро
433,433,invitro.by,,"семя фенхеля f219, ige fennel seed f219, ige",27.53,,специфические иммуноглобулины класса е к аллергенам фенхеля анализ крови на аллергию на фенхель,"семя фенхеля f219, ige fennel seed f219, ige",1.0000000000000002,Инвитро
434,434,invitro.by,,"гвоздика f268, ige clove f268, ige",27.53,,специфические иммуноглобулины класса е к аллергенам гвоздики анализ крови на аллергию на гвоздику,"гвоздика f268, ige clove f268, ige",1.0,Инвитро
435,435,invitro.by,,"кардамон f267, ige cardamon f267, ige",27.53,,специфические иммуноглобулины класса е к аллергенам кардамона анализ крови на аллергию на кардамон,"кардамон f267, ige cardamon f267, ige",1.0,Инвитро
436,436,invitro.by,,"тмин f265, ige caraway f265, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тмина анализ крови на аллергию на тмин,"тмин f265, ige caraway f265, ige",1.0,Инвитро
437,437,invitro.by,,"любисток f275, ige lovage f275, ige",27.53,,специфические иммуноглобулины класса е к аллергенам любистока анализ крови на аллергию на любисток,"любисток f275, ige lovage f275, ige",1.0000000000000002,Инвитро
438,438,invitro.by,,"майоран f274, ige marjoram f274, ige",27.53,,специфические иммуноглобулины класса е к аллергенам майорана анализ крови на аллергию на майоран,"майоран f274, ige marjoram f274, ige",1.0000000000000002,Инвитро
439,439,invitro.by,,"тимьян ползучий чабрец f273, ige thyme f273, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тимьяна ползучего чабреца анализ крови на аллергию на тимьян ползучий чабрец,"тимьян ползучий чабрец f273, ige thyme f273, ige",1.0000000000000002,Инвитро
440,440,invitro.by,,"эстрагон тархун f272, ige tarragon f272, ige",27.53,,специфические иммуноглобулины класса е к аллергенам эстрагона тархуна анализ крови на аллергию на эстрагон тархун,"эстрагон тархун f272, ige tarragon f272, ige",1.0000000000000002,Инвитро
441,441,invitro.by,,"слива f255, ige plum f255, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сливы анализ крови на аллергию на сливу,"слива f255, ige plum f255, ige",1.0000000000000002,Инвитро
442,442,invitro.by,,"кукуруза f8, ige corn f8, ige",27.53,,специфические иммуноглобулины класса е к аллергенам кукурузы анализ крови на аллергию на кукурузу,"кукуруза f8, ige corn f8, ige",1.0000000000000002,Инвитро
443,443,invitro.by,,"тунец f40, ige tuna f40, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тунца анализ крови на аллергию на тунца,"тунец f40, ige tuna f40, ige",1.0000000000000002,Инвитро
444,444,invitro.by,,"сыр гауда f198, ige cheese, gouda f198, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сыра гауда анализ крови на аллергию на сыр гауда,"сыр гауда f198, ige cheese, gouda f198, ige",1.0,Инвитро
445,445,invitro.by,,"сыр эдам f150, ige cheese, edam f150, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сыра эдам анализ крови на аллергию на сыр эдам,"сыр эдам f150, ige cheese, edam f150, ige",1.0,Инвитро
446,446,invitro.by,,"сыр с плесенью f82, ige cheese, mold-type f82, ige",27.53,,специфические иммуноглобулины класса е к аллергенам сыра с плесенью анализ крови на аллергию на сыр с плесенью,"сыр с плесенью f82, ige cheese, mold-type f82, ige",1.0000000000000002,Инвитро
447,447,invitro.by,,"смесь аллергенов пыльцы деревьев позднее цветение tm6 клен ясенелистный, береза бородавчатая, бук, дуб, грецкий орех, ige mixed tree pollens allergen tm6 ash-leaved maple, warty birch, beech, oak, walnut, ige",33.5,,специфические иммуноглобулины класса е к аллергенам позднецветущих деревьев,"смесь аллергенов пыльцы деревьев позднее цветение tm6 клен ясенелистный, береза бородавчатая, бук, дуб, грецкий орех, ige mixed tree pollens allergen tm6 ash-leaved maple, warty birch, beech, oak, walnut, ige",1.0000000000000002,Инвитро
448,448,invitro.by,,"смесь аллергенов пыльцы деревьев раннее цветение tm5 ольха серая, лещина/орешник, вяз, ива, тополь трехгранный, ige mixed tree pollens allergen tm5 gray alder, hazel, elm, willow, three-sided poplar, ige",33.5,,специфические иммуноглобулины класса е к аллергенам раннецветущих деревьев,"смесь аллергенов пыльцы деревьев раннее цветение tm5 ольха серая, лещина/орешник, вяз, ива, тополь трехгранный, ige mixed tree pollens allergen tm5 gray alder, hazel, elm, willow, three-sided poplar, ige",1.0,Инвитро
449,449,invitro.by,,"смесь аллергенов пыльцы деревьев позднее цветение tm3 клен ясенелистный, дуб, ива, тополь трехгранный, ige mixed tree pollens allergen tm3 ash-leaved maple, oak, willow, three-sided poplar, ige",33.5,,специфические иммуноглобулины класса е к аллергенам позднецветущих деревьев,"смесь аллергенов пыльцы деревьев позднее цветение tm3 клен ясенелистный, дуб, ива, тополь трехгранный, ige mixed tree pollens allergen tm3 ash-leaved maple, oak, willow, three-sided poplar, ige",1.0000000000000004,Инвитро
450,450,invitro.by,,"смесь аллергенов пыльцы деревьев раннее цветение tm2 ольха серая, береза бородавчатая, лещина/орешник, американский ясень, ige mixed tree pollens allergen tm2 alder, warty birch, hazel, american ash, ige",33.5,,специфические иммуноглобулины класса е к аллергенам раннецветущих деревьев,"смесь аллергенов пыльцы деревьев раннее цветение tm2 ольха серая, береза бородавчатая, лещина/орешник, американский ясень, ige mixed tree pollens allergen tm2 alder, warty birch, hazel, american ash, ige",0.9999999999999998,Инвитро
451,451,invitro.by,,смесь луговых трав,27.53,,,,0.4609030642782936,Инвитро
452,452,invitro.by,,"смесь пищевых аллергенов пшеница, овес, кукуруза, кунжут, греча, fm11, ige mixed food allergen wheat, oats, corn, sesame, buckwheat, fm11, ige",27.53,,,,0.5428911992387114,Инвитро
453,453,invitro.by,,"смесь пищевых аллергенов fm70 эстрагон, тимьян, майоран, любисток, ige mixed food allergen fm70 tarragon, thyme, marjoram, lovage, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам эстрагона, тимьяна, майорана, любистока fm70 specific immunoglobulins class e to tarragon, thyme, marjoram, lovage fm70","смесь пищевых аллергенов fm70 эстрагон, тимьян, майоран, любисток, ige mixed food allergen fm70 tarragon, thyme, marjoram, lovage, ige",1.0,Инвитро
454,454,invitro.by,,"смесь пищевых аллергенов fm104 вишня, персик, абрикос, слива, ige mixed food allergen fm104 cherry, peach, apricot, plum, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам вишни, персика, абрикоса, сливы fm104","смесь пищевых аллергенов fm104 вишня, персик, абрикос, слива, ige mixed food allergen fm104 cherry, peach, apricot, plum, ige",1.0,Инвитро
455,455,invitro.by,,"смесь пищевых аллергенов fm101 яичный белок, молоко коровье, пшеница, рожь, кукуруза, яичный желток, α-лактоальбумин, β-лактальбумин, казеин, глютен, сыр чедер, ige mixed food allergen fm101 egg white, cow's milk, wheat, rye, corn, egg y",33.5,,"специфические иммуноглобулины класса е к аллергенам яичного белка, молока коровьего, пшеницы, ржи, кукурузы, яичного желтка, α-лактоальбумина, β-лактальбумина, казеина, глютена, сыра чедер fm101 specific immunoglobulins class e to egg white, cow's milk, wheat, rye, corn, egg yolk, α-lactalbumin, β-lactalbumin, casein, gluten, cheddar cheese fm101","смесь пищевых аллергенов fm101 яичный белок, молоко коровье, пшеница, рожь, кукуруза, яичный желток, α-лактоальбумин, β-лактальбумин, казеин, глютен, сыр чедер, ige mixed food allergen fm101 egg white, cow's milk, wheat, rye, corn, egg y",1.0000000000000002,Инвитро
456,456,invitro.by,,"смесь пищевых аллергенов fm72 семена фенхеля, базилик, имбирь, анис, ige mixed food allergen fm72 fennel seeds, basil, ginger, anise, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам семян фенхеля, базилика, имбиря, аниса fm72 specific immunoglobulins class e to fennel seeds, basil, ginger, anise fm72","смесь пищевых аллергенов fm72 семена фенхеля, базилик, имбирь, анис, ige mixed food allergen fm72 fennel seeds, basil, ginger, anise, ige",1.0,Инвитро
457,457,invitro.by,,"смесь пищевых аллергенов fm71 тмин, кардамон, гвоздика, мускатный орех, ige mixed food allergen fm71 cumin, cardamom, cloves, nutmeg, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам тмина, кардамона, гвоздики, мускатного ореха fm71 specific immunoglobulins class e to cumin, cardamom, cloves, nutmeg fm71","смесь пищевых аллергенов fm71 тмин, кардамон, гвоздика, мускатный орех, ige mixed food allergen fm71 cumin, cardamom, cloves, nutmeg, ige",1.0,Инвитро
458,458,invitro.by,,"смесь пищевых аллергенов fm24 треска, креветки, мидии, тунец, лосось/семга, ige mixed food allergen fm24 cod, shrimp, mussels, tuna, salmon, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам трески, креветки, мидий, тунца, лосося/семги fm24 specific immunoglobulins class e to cod, shrimp, mussels, tuna, salmon fm24","смесь пищевых аллергенов fm24 треска, креветки, мидии, тунец, лосось/семга, ige mixed food allergen fm24 cod, shrimp, mussels, tuna, salmon, ige",1.0000000000000002,Инвитро
459,459,invitro.by,,"смесь пищевых аллергенов fm22 сыр швейцарский, сыр чедер, cыр с плесенью, сыр эдам, сыр гауда, ige mixed food allergen fm22 swiss cheese, cheddar cheese, cheese with mold, edam cheese, gouda cheese, ige",33.5,,специфические иммуноглобулины класса е к аллергенам сыров,"смесь пищевых аллергенов fm22 сыр швейцарский, сыр чедер, cыр с плесенью, сыр эдам, сыр гауда, ige mixed food allergen fm22 swiss cheese, cheddar cheese, cheese with mold, edam cheese, gouda cheese, ige",1.0000000000000002,Инвитро
460,460,invitro.by,,"смесь пищевых аллергенов fm18 апельсин, лимон, грейпфрут, мандарин, ige mixed food allergen fm18 orange, lemon, grapefruit, tangerine, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам апельсина, лимона, грейпфрута, мандарина fm18 specific immunoglobulins class e to orange, lemon, grapefruit, tangerine fm18","смесь пищевых аллергенов fm18 апельсин, лимон, грейпфрут, мандарин, ige mixed food allergen fm18 orange, lemon, grapefruit, tangerine, ige",1.0000000000000004,Инвитро
461,461,invitro.by,,"смесь пищевых аллергенов fm10 пшеница, рожь, овес, глютен, ige mixed food allergen fm10 wheat, rye, oats, gluten, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам пшеницы, ржи, овса, глютена fm10 specific immunoglobulins class e to wheat, rye, oats, gluten fm10","смесь пищевых аллергенов fm10 пшеница, рожь, овес, глютен, ige mixed food allergen fm10 wheat, rye, oats, gluten, ige",1.0,Инвитро
462,462,invitro.by,,"смесь пищевых аллергенов fm7 горох, фасоль белая, томаты, морковь, картофель, ige mixed food allergen fm7 peas, white beans, tomatoes, carrots, potatoes, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам гороха, белой фасоли, томатов, моркови, картофеля fm7 specific immunoglobulins class e to peas, white beans, tomatoes, carrots, potatoes fm7","смесь пищевых аллергенов fm7 горох, фасоль белая, томаты, морковь, картофель, ige mixed food allergen fm7 peas, white beans, tomatoes, carrots, potatoes, ige",1.0,Инвитро
463,463,invitro.by,,"смесь пищевых аллергенов fm6 лесной орех, бразильский орех, миндаль, кокос, грецкий орех, ige mixed food allergen fm6 hazelnut, brazil nut, almond, coconut, walnut, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам лесного ореха, бразильского ореха, миндаля, кокоса, грецкого ореха fm6 specific immunoglobulins class e to hazelnut, brazil nut, almond, coconut, walnut fm6","смесь пищевых аллергенов fm6 лесной орех, бразильский орех, миндаль, кокос, грецкий орех, ige mixed food allergen fm6 hazelnut, brazil nut, almond, coconut, walnut, ige",1.0000000000000002,Инвитро
464,464,invitro.by,,"смесь пищевых аллергенов fm5 яичный белок, молоко коровье, треска, пшеница, арахис, соевые бобы, ige mixed food allergen fm5 egg white, cow's milk, cod, wheat, peanuts, soybeans, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам яичного белка, коровьего молока, трески, пшеницы, арахиса, бобов сои fm5 specific immunoglobulins class e to egg white, cow's milk, cod, wheat, peanuts, soybeans fm5","смесь пищевых аллергенов fm5 яичный белок, молоко коровье, треска, пшеница, арахис, соевые бобы, ige mixed food allergen fm5 egg white, cow's milk, cod, wheat, peanuts, soybeans, ige",1.0000000000000002,Инвитро
465,465,invitro.by,,"смесь пищевых аллергенов fm4 треска, лосось/семга, сельдь, cкумбрия, камбала, ige mixed food allergen fm4 cod, salmon, herring, mackerel, flounder, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам трески, лосося/семги, сельди, скумбрии, камбалы fm4 specific immunoglobulins class e to cod, salmon, herring, mackerel, flounder fm4","смесь пищевых аллергенов fm4 треска, лосось/семга, сельдь, cкумбрия, камбала, ige mixed food allergen fm4 cod, salmon, herring, mackerel, flounder, ige",1.0,Инвитро
466,466,invitro.by,,"смесь пищевых аллергенов fm2 треска, крабовое мясо, креветки, мидии, ige mixed food allergen fm2 cod, crab meat, shrimp, mussels, ige",33.5,,"специфические иммуноглобулины класса е к аллергенам трески, крабового мяса, креветок, мидий fm2 specific immunoglobulins class e to cod, crabmeat, shrimp, mussels fm2","смесь пищевых аллергенов fm2 треска, крабовое мясо, креветки, мидии, ige mixed food allergen fm2 cod, crab meat, shrimp, mussels, ige",1.0,Инвитро
467,467,invitro.by,,смесь пищевых аллергенов,27.53,,,,0.5203731973135937,Инвитро
468,468,invitro.by,,"лисохвост луговой g16, ige meadow foxtail g16, ige",27.53,,специфические иммуноглобулины класса е к аллергенам луговых трав gm1 specific immunoglobulins class e to mixed meadow grasses gm1,"смесь луговых трав: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой gm1, ige mixed meadow grasses: orchard grass, meadow fescue, darnel, timothy grass, bluegrass meadow gm1, ige",0.6646056693976213,Инвитро
469,469,invitro.by,,"подорожник w9, ige plantago lanceolata w9, ige",27.53,,специфические иммуноглобулины класса е к аллергенам подорожника ланцетовидногоанализ крови на аллергию на подорожник ланцетовидный,"подорожник w9, ige plantago lanceolata w9, ige",1.0,Инвитро
470,470,invitro.by,,"лещина обыкновенная t4, ige corylus avellana t4, ige",27.53,,специфические иммуноглобулины класса е к аллергенам лещины обыкновеннойанализ крови на аллергию на лещину обыкновенную,"лещина обыкновенная t4, ige corylus avellana t4, ige",1.0,Инвитро
471,471,invitro.by,,"ольха серая t2, ige alnus incana t2, ige",27.53,,специфические иммуноглобулины класса е к аллергенам ольхи серойанализ крови на аллергию на ольху серую,"ольха серая t2, ige alnus incana t2, ige",1.0,Инвитро
472,472,invitro.by,,"полынь горькая w5, ige artemisia absinthium, w5, ige",27.53,,специфические иммуноглобулины класса е к аллергенам полыни горькойанализ крови на аллергию на полынь горькую,"полынь горькая w5, ige artemisia absinthium, w5, ige",1.0,Инвитро
473,473,invitro.by,,"полынь обыкновенная w6, ige artemisia vulgaris, w6, ige",27.53,,специфические иммуноглобулины класса е к аллергенам полыни обыкновеннойанализ крови на аллергию на полынь обыкновенную,"полынь обыкновенная w6, ige artemisia vulgaris, w6, ige",1.0000000000000002,Инвитро
474,474,invitro.by,,"береза бородавчатая t3, ige birch, t3, ige",27.53,,специфические иммуноглобулины класса е к аллергенам березы бородавчатойанализ крови на аллергию на березу бородавчатую,"береза бородавчатая t3, ige birch, t3, ige",1.0000000000000002,Инвитро
475,475,invitro.by,,"мятлик луговой, g8, ige poa pratensis, g8, ige",27.53,,специфические иммуноглобулины класса е к аллергенам мятлика луговогоанализ крови на аллергию на мятлик луговой,"мятлик луговой, g8, ige poa pratensis, g8, ige",1.0,Инвитро
476,476,invitro.by,,"тимофеевка луговая, g6, ige phleum pratense, g6, ige",27.53,,специфические иммуноглобулины класса е к аллергенам тимофеевки луговойанализ крови на аллергию на тимофеевку луговую,"тимофеевка луговая, g6, ige phleum pratense, g6, ige",1.0,Инвитро
477,477,invitro.by,,"овсяница луговая, g4, ige festula elatior, g4, ige",27.53,,специфические иммуноглобулины класса е к аллергенам овсяницы луговойанализ крови на аллергию на овсяницу луговую,"овсяница луговая, g4, ige festula elatior, g4, ige",1.0,Инвитро
478,478,invitro.by,,"плевел/райграс многолетний, g5, ige lolium perenne, g5, ige",27.53,,специфические иммуноглобулины класса е к аллергенам плевела/райграса многолетнегоанализ крови на аллергию на плевел/райграс многолетний,"плевел/райграс многолетний, g5, ige lolium perenne, g5, ige",1.0000000000000002,Инвитро
479,479,invitro.by,,"ежа сборная g3 ige dactylis glomerata g3, ige",27.53,,специфические иммуноглобулины класса е к аллергенам ежи сборнойанализ крови на аллергию на ежу сборную,"ежа сборная g3 ige dactylis glomerata g3, ige",1.0,Инвитро
480,480,invitro.by,,ромашка,27.53,,,,0.3922758120084503,Инвитро
481,481,invitro.by,,подсолнечник,27.53,,,,0.3922758120084503,Инвитро
482,482,invitro.by,,полынь обыкновенная,27.53,,,,0.4492287239516829,Инвитро
483,483,invitro.by,,береза бородавчатая,27.53,,,,0.4891066939025262,Инвитро
484,484,invitro.by,,"смесь аллергенов плесени mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor racemosus, alternaria alternata tenuis, ige mixed mold allergen mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor rac",33.5,,специфические иммуноглобулины класса е к аллергенам плесени,"смесь аллергенов плесени mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor racemosus, alternaria alternata tenuis, ige mixed mold allergen mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor rac",1.0,Инвитро
485,485,invitro.by,,смесь аллергенов плесени,27.53,,,,0.4417778920092041,Инвитро
