,synonyms,analysis
185,дифференцированный подсчет лейкоцитов лейкоцитограмма соотношение различных форм лейкоцитов в крови дифференцированный подсчет лейкоцитов лейкограмма формула крови подсчет лейкоцитарной формулы differential white blood cell count leukocyte differential count peripheral differential wbc differential,"лейкоцитарная формула дифференцированный подсчет лейкоцитов, лейкоцитограмма, differential white blood cell count  с микроскопией мазка крови при наличии патологических сдвигов"
186,дифференцированный подсчет лейкоцитов лейкоцитограмма соотношение различных форм лейкоцитов в крови дифференцированный подсчет лейкоцитов лейкограмма лейкоформула формула крови подсчет лейкоцитарной формулы differential white blood cell count wbc count differential leukocyte differential count peripheral differential wbc differential,"лейкоцитарная формула дифференцированный подсчет лейкоцитов, лейкоцитограмма, differential white blood cell count с обязательной «ручной» микроскопией мазка крови"
187,оак cbc without differential,"анализ крови общий анализ крови без лейкоцитарной формулы и соэ complete blood count, cbc"
188,реакция оседания эритроцитов роэ,"соэ cкорость оседания эритроцитов, esr"
189,анализ крови на ретикулоциты количество ретикулоцитов подсчет количества ретикулоцитов ретикулоцитарный индекс,ретикулоциты reticulocytes
190,"общий анализ крови, оак full blood count, fbc, complete blood count cbc with differential white blood cell count cbc with diff, hemogram соотношение различных форм лейкоцитов в крови лейкограмма лейкоформула формула крови подсчет лейкоцитарной формулы differential white blood cell count leukocyte differential count peripheral differential wbc differential","клинический анализ крови: общий анализ, лейкоформула с микроскопией мазка крови при наличии патологических сдвигов"
191,"анализ крови на тромбоциты тромбоциты, микроскопия метод фонио","тромбоциты, микроскопия подсчет в окрашенном мазке по методу фонио"
192,анализ крови на осмотическую резистентность эритроцитов осмотическая резистентность эритроцитов орэ осмотическая стойкость эритроцитов,"определение осмотической резистентности эритроцитов osmotic fragility of test, rbc"
193,анализ крови на измененный гемоглобин электрофорез фракций гемоглобина выявление патологических фракций гемоглобина,электрофорез гемоглобина hemoglobin electrophoresis
194,анализ крови на активность глюкозо-6-фосфатдегидрогеназа эритроцитов активность фермента глюкозо-6-фосфатдегидрогеназы в эритроцитах анализ активности фермента g6pd,"глюкозо-6-фосфатдегидрогеназа эритроцитов, активность г6фд, glucose-6-phosphate dehydrogenase, g6pd, activity"
195,"прямая реакция кумбса прямая антиглобулиновая реакция coombs test direct coombs antihuman globulin test coombs, direct","прямой антиглобулиновый тест, полиспецифичный пагт, прямая проба кумбса, direct antiglobulin test, dat, direct coombs test polyspecific"
196,"анализ крови на определение группы группа крови ав0 группа крови по системе аво определение группы крови abo grouping, blood typing, blood group, blood type","группа крови blood group, ав0"
197,анализ крови на резус-фактор резус-принадлежность резус-фактор крови резус rh rh type rh typing rh-factor rhesus factor,"резус­-принадлежность резус­фактор, rh­factor, rh"
198,"анализ крови на фенотип анализ крови на эритроцитарные антигены фенотипирование эритроцитов по антигенам c, e, c, e антигены системы kell","rh c, e, c, e, kell – фенотипирование rh c, e, c, e, kell phenotyping"
199,анализ крови на аллоиммунные антитела титр антирезусных антител,"аллоиммунные антитела включая антитела к rh-антигену, непрямой антиглобулиновый тест нагт, непрямая проба кумбса"
200,анализ крови на ачтв активированное парциальное тромбопластиновое время кефалин-каолиновое время partial thromboplastin time ptt activated partial thromboplastin time aptt aptt,"ачтв аптв, активированное частичное парциальное тромбопластиновое время, кефалин­каолиновое время, activated partial thromboplastin time, aptt"
201,анализ крови на протромбин протромбин протромбиновое время протромбиновый индекс международное нормализованное отношение мно фактор свертывания крови ii prothrombin pt protime inr international normalized ratio coagulation factor ii fii,"протромбин, мно протромбиновое время, pt, prothrombin, inr"
202,анализ на тромбиновое время тв антитромбин i,тромбиновое время thrombin time
203,анализ крови на фибриноген фибриноген фактор i первый свертывающей системы плазмы fibrinogen fibrinogen activity and fibrinogen antigen assays factor i activity factor i fibrinogen activity functional fibrinogen fibrinogen antigen,фибриноген fibrinogen
204,фрагмент расщепления фибрина,d-димер d-dimer
205,анализ крови на антитромбин ат3,"антитромбин iii, % активности ат iii, antithrombin iii, % activity"
206,аутоантитела igg против фосфолипидов,"волчаночный антикоагулянт ва, lupus anticoagulants, la"
207,анализ крови на протеин с активность протеина c % пс % активности protein c pc coagulation protein с protein c % activity,"протеин c, % активности protein c, % activity"
208,профибринолизин,"плазминоген, % активности  plasminogen, % activity"
209,фактор свертывания viii антигемофилический фактор агф антигемофильный глобулин,"фактор viii, активность % factor viii, fviii, activity %"
210,фактор свертывания крови ix антигемофильный глобулин b,"фактор свертывания ix, активность, % fix активность, фактор кристмаса, coagulation factor ix activity, %, christmas factor"
211,активность xa анти-xa,"анти-ха активность, ме/мл гепарин, концентрация, anti-xa activity, iu/ml, heparin concentration, iu/ml"
212,"фактор фон виллебранда, антиген антиген фактора виллебранда","фактор виллебранда, антиген von willebrand factor, vwf, antigen"
213,"гемостазиограмма, коагулограмма","гемостазиограмма коагулограмма, скрининг"
214,иммунограмма иммунофенотипирование,иммунологическое обследование скрининговое
215,cкрининговая оценка состояния звеньев иммунитета иммунограмма иммунофенотипирование клеточный иммунитет гуморальный иммунитет фагоцитоз immune status panel immunophenotyping human leukocyte differentiation antigens lymphocyte subsets lymphocyte activity phagocytosis immunoglobulins,иммунологическое обследование расширенное
216,иммунофенотипирование клеточный иммунитет субпопуляции лимфоцитов,"фенотипирование лимфоцитов основные субпопуляции – cd3, cd4, cd8, cd19, cd16, 56 lymphocyte phenotyping main subsets panel: cd3, cd4, cd8, cd19, cd16, 56"
217,trec и krec в крови методом пцр анализ trec и krec для диагностики первичных иммунодефицитных состояний trec/krec для постнатальной диагностики первичных иммунодефицитных состояний,исследование trec и krec для диагностики иммунодефицитов trec and krec analysis for immunodeficiency diagnostics
218,анализ крови на активность фагоцитоза,фагоцитарная активность лейкоцитов phagocytic activity of leucocytes
219,анализ крови на iga иммуноглобулин a,иммуноглобулины класса a iga
220,анализ крови на igм иммуноглобулин м,иммуноглобулины класса м igm
221,антитела класса g igg общий,иммуноглобулины класса g igg
222,"анализ крови на 4 подкласса igg igg 1, igg 2, igg 3, igg 4","подклассы иммуноглобулина g: igg1, igg2, igg3, igg4 subclasses of immunoglobulin g: igg1, igg2, igg3, igg4"
223,c3 и c4 компоненты системы комплемента,"компоненты системы комплемента с3, с4 complement components c3, c4"
224,с1-ингибитор ингибитор с1-эстеразы антиген с1-ингибитор количество тест на наследственный ангионевротический отек нао,"ингибитор с1-эстеразы, концентрация c1-esterase inhibitor, с1-inh, level"
225,анализ крови на интерлейкин-6 интерлейкин-6 ил-6,"интерлейкин 6 ил-6, interleukin 6, il-6"
226,анализ крови на интерфероновый статус интерфероновый статус исследование компонентов интерферонового статуса,исследование интерферонового статуса
227,анализ крови на респираторные аллергены,респираторная панель protia allerqy-q
228,анализ крови на пищевые и ингаляционные аллергены,атопическая панель protia allerqy-q
229,анализ крови на иммуноглобулин еimmunoglobulin e quantitative ige,"ige общий иммуноглобулин е общий, ige total"
230,специфические иммуноглобулины класса е к смеси пищевых аллергенованализ крови на аллергию на смесь пищевых аллергенов,"смесь пищевых аллергенов 15 fp15: апельсин, банан, яблоко, персик, ige food panel 15 fp15: orange, apple, banana, peach, ige"
231,специфические иммуноглобулины класса е к аллергенам какаоанализ крови на аллергию на какао,"какао f93, ige cocoa f93, ige"
232,специфические иммуноглобулины класса е к аллергенам лукаанализ крови на аллергию на лук,"лук f84, ige onion f84, ige"
233,анализ крови на аллергию на собак аллерген-специфический ige к эпителию собаки аллерген-специфический ige к эпителию собаки,"собака, ige dog epithelium, ige, e2"
234,специфические иммуноглобулины класса е к аллергенам пенициллина gанализ крови на аллергию на пенициллин g,"пенициллин g с1, ige penicilloyl g с1, ige"
235,"ат класса g к пищевым аллергенам до 90 показателей ат к пищевым аллергенам, igg",антитела класса igg к панели пищевых аллергенов
236,"cмесь аллергенов плесени mm2, ige","смесь аллергенов плесени mm2, ige mixed mold allergen mm2, ige"
237,специфические иммуноглобулины класса е к аллергенам плесени,"смесь аллергенов плесени mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor racemosus, alternaria alternata tenuis, ige mixed mold allergen mm1 penicillium notatum, cladosporium herbarum, aspergillus fumigatus, mucor rac"
238,специфические иммуноглобулины класса е к аллергенам перьев птиц,"смесь перьев птиц em1 гусиные перья, куриные перья, утиные перья, перья индюка, ige mixed epidermal allergen em1 goose feathers, chicken feathers, duck feathers, turkey feathers, ige"
239,специфические иммуноглобулины класса е к аллергенам перьев декоративных птиц,"смесь перьев декоративных птиц em72 перья волнистого попугайчика, перья длиннохвостого попугая, перья канарейки, перья попугая жако, ige mixed epidermal allergen em72, ige budgie feathers, long-tailed parrot feathers, canary feathers, jacko parrot"
240,специфические иммуноглобулины класса е к аллергенам эпителия домашних грызунованализ крови на аллергию на эпителий домашних грызунов,"смесь аллергенов домашних грызунов: эпителий морской свинки, эпителий кролика, эпителий хомяка, крыса, мышь, ige ep70 e6, e82, e84, e87, e88, rodents panel: guinea pig epithelium, rabbit epithelium, hamster epithelium, rat, mouse, ige"
241,специфические иммуноглобулины класса е к аллергенам домашней пыли,"домашняя пыль h2, ige house dust hollister –stier h2, ige"
242,специфические иммуноглобулины класса е к аллергенам луговых трав gm1 specific immunoglobulins class e to mixed meadow grasses gm1,"смесь луговых трав: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой gm1, ige mixed meadow grasses: orchard grass, meadow fescue, darnel, timothy grass, bluegrass meadow gm1, ige"
243,специфические иммуноглобулины класса е к аллергенам раннецветущих деревьев,"смесь аллергенов пыльцы деревьев раннее цветение tm2 ольха серая, береза бородавчатая, лещина/орешник, американский ясень, ige mixed tree pollens allergen tm2 alder, warty birch, hazel, american ash, ige"
244,специфические иммуноглобулины класса е к аллергенам позднецветущих деревьев,"смесь аллергенов пыльцы деревьев позднее цветение tm3 клен ясенелистный, дуб, ива, тополь трехгранный, ige mixed tree pollens allergen tm3 ash-leaved maple, oak, willow, three-sided poplar, ige"
245,специфические иммуноглобулины класса е к аллергенам раннецветущих деревьев,"смесь аллергенов пыльцы деревьев раннее цветение tm5 ольха серая, лещина/орешник, вяз, ива, тополь трехгранный, ige mixed tree pollens allergen tm5 gray alder, hazel, elm, willow, three-sided poplar, ige"
246,специфические иммуноглобулины класса е к аллергенам позднецветущих деревьев,"смесь аллергенов пыльцы деревьев позднее цветение tm6 клен ясенелистный, береза бородавчатая, бук, дуб, грецкий орех, ige mixed tree pollens allergen tm6 ash-leaved maple, warty birch, beech, oak, walnut, ige"
247,специфические иммуноглобулины класса е к аллергенам ядов насекомых,"смесь ядов насекомых im100 пчела медоносная, оса обыкновенная, таракан-прусак, шершень европейский, ige mixed insects allergen im100 bee, wasp, prussian cockroach, hornet, ige"
248,специфические иммуноглобулины класса е к пищевым аллергенам fm21 specific immunoglobulins class e to food allergen fm21,"смесь пищевых аллергенов fm21, ige mixed food allergen fm21, ige"
249,"специфические иммуноглобулины класса е к аллергенам яичного белка, молока коровьего, пшеницы, ржи, кукурузы, яичного желтка, α-лактоальбумина, β-лактальбумина, казеина, глютена, сыра чедер fm101 specific immunoglobulins class e to egg white, cow's milk, wheat, rye, corn, egg yolk, α-lactalbumin, β-lactalbumin, casein, gluten, cheddar cheese fm101","смесь пищевых аллергенов fm101 яичный белок, молоко коровье, пшеница, рожь, кукуруза, яичный желток, α-лактоальбумин, β-лактальбумин, казеин, глютен, сыр чедер, ige mixed food allergen fm101 egg white, cow's milk, wheat, rye, corn, egg y"
250,"специфические иммуноглобулины класса е к аллергенам семян фенхеля, базилика, имбиря, аниса fm72 specific immunoglobulins class e to fennel seeds, basil, ginger, anise fm72","смесь пищевых аллергенов fm72 семена фенхеля, базилик, имбирь, анис, ige mixed food allergen fm72 fennel seeds, basil, ginger, anise, ige"
251,"специфические иммуноглобулины класса е к аллергенам тмина, кардамона, гвоздики, мускатного ореха fm71 specific immunoglobulins class e to cumin, cardamom, cloves, nutmeg fm71","смесь пищевых аллергенов fm71 тмин, кардамон, гвоздика, мускатный орех, ige mixed food allergen fm71 cumin, cardamom, cloves, nutmeg, ige"
252,"специфические иммуноглобулины класса е к аллергенам эстрагона, тимьяна, майорана, любистока fm70 specific immunoglobulins class e to tarragon, thyme, marjoram, lovage fm70","смесь пищевых аллергенов fm70 эстрагон, тимьян, майоран, любисток, ige mixed food allergen fm70 tarragon, thyme, marjoram, lovage, ige"
253,"специфические иммуноглобулины класса е к аллергенам трески, креветки, мидий, тунца, лосося/семги fm24 specific immunoglobulins class e to cod, shrimp, mussels, tuna, salmon fm24","смесь пищевых аллергенов fm24 треска, креветки, мидии, тунец, лосось/семга, ige mixed food allergen fm24 cod, shrimp, mussels, tuna, salmon, ige"
254,специфические иммуноглобулины класса е к аллергенам сыров,"смесь пищевых аллергенов fm22 сыр швейцарский, сыр чедер, cыр с плесенью, сыр эдам, сыр гауда, ige mixed food allergen fm22 swiss cheese, cheddar cheese, cheese with mold, edam cheese, gouda cheese, ige"
255,"специфические иммуноглобулины класса е к аллергенам апельсина, лимона, грейпфрута, мандарина fm18 specific immunoglobulins class e to orange, lemon, grapefruit, tangerine fm18","смесь пищевых аллергенов fm18 апельсин, лимон, грейпфрут, мандарин, ige mixed food allergen fm18 orange, lemon, grapefruit, tangerine, ige"
256,"специфические иммуноглобулины класса е к аллергенам пшеницы, ржи, овса, глютена fm10 specific immunoglobulins class e to wheat, rye, oats, gluten fm10","смесь пищевых аллергенов fm10 пшеница, рожь, овес, глютен, ige mixed food allergen fm10 wheat, rye, oats, gluten, ige"
257,"специфические иммуноглобулины класса е к аллергенам гороха, белой фасоли, томатов, моркови, картофеля fm7 specific immunoglobulins class e to peas, white beans, tomatoes, carrots, potatoes fm7","смесь пищевых аллергенов fm7 горох, фасоль белая, томаты, морковь, картофель, ige mixed food allergen fm7 peas, white beans, tomatoes, carrots, potatoes, ige"
258,"специфические иммуноглобулины класса е к аллергенам лесного ореха, бразильского ореха, миндаля, кокоса, грецкого ореха fm6 specific immunoglobulins class e to hazelnut, brazil nut, almond, coconut, walnut fm6","смесь пищевых аллергенов fm6 лесной орех, бразильский орех, миндаль, кокос, грецкий орех, ige mixed food allergen fm6 hazelnut, brazil nut, almond, coconut, walnut, ige"
259,"специфические иммуноглобулины класса е к аллергенам яичного белка, коровьего молока, трески, пшеницы, арахиса, бобов сои fm5 specific immunoglobulins class e to egg white, cow's milk, cod, wheat, peanuts, soybeans fm5","смесь пищевых аллергенов fm5 яичный белок, молоко коровье, треска, пшеница, арахис, соевые бобы, ige mixed food allergen fm5 egg white, cow's milk, cod, wheat, peanuts, soybeans, ige"
260,"специфические иммуноглобулины класса е к аллергенам трески, крабового мяса, креветок, мидий fm2 specific immunoglobulins class e to cod, crabmeat, shrimp, mussels fm2","смесь пищевых аллергенов fm2 треска, крабовое мясо, креветки, мидии, ige mixed food allergen fm2 cod, crab meat, shrimp, mussels, ige"
261,"специфические иммуноглобулины класса е к аллергенам трески, лосося/семги, сельди, скумбрии, камбалы fm4 specific immunoglobulins class e to cod, salmon, herring, mackerel, flounder fm4","смесь пищевых аллергенов fm4 треска, лосось/семга, сельдь, cкумбрия, камбала, ige mixed food allergen fm4 cod, salmon, herring, mackerel, flounder, ige"
262,"специфические иммуноглобулины класса е к аллергенам вишни, персика, абрикоса, сливы fm104","смесь пищевых аллергенов fm104 вишня, персик, абрикос, слива, ige mixed food allergen fm104 cherry, peach, apricot, plum, ige"
263,"специфические иммуноглобулины класса е к аллергену грибов рода malassezia m227 specific immunoglobulins class e to yeast, malassezia spp m227","грибы рода malassezia spp m227 ige, yeast, malassezia spp m227 ige"
264,специфические иммуноглобулины класса е к аллергенам плесневого гриба penicillium notatumанализ крови на аллергию на плесень penicillium notatum,плесень penicillium notatum m1 ige
265,специфические иммуноглобулины класса е к аллергенам плесневого гриба cladosporium herbarumанализ крови на аллергию на плесень cladosporium herbarum,плесень cladosporium herbarum m2 ige
266,специфические иммуноглобулины класса е к аллергенам плесени aspergillus fumigatus анализ крови на аллергию на плесень aspergillus fumigatus,"aspergillus fumigatus m3, ige"
267,специфические иммуноглобулины класса е к аллергенам дрожжеподобных грибов candida albicans,"candida albicans m5, ige"
268,специфические иммуноглобулины класса е к аллергенам плесени alternaria alternata tenuisанализ крови на аллергию на плесень alternaria alternata tenuis,"alternaria alternata tenuis, m6, ige"
269,специфические иммуноглобулины класса е аллергену яда пятнистой осы i2 specific immunoglobulins class e to white-faced hornet i2,"яд осы пятнистой i2, ige white-faced hornet i2, ige"
270,специфические иммуноглобулины класса е к аллергенам комара i71 specific immunoglobulins class e to mosquito i71,"комар i71, ige mosquito i71, ige"
271,специфические иммуноглобулины класса е к аллергенам яда шершня i75 specific immunoglobulins class e to european hornet i75,"яд шершня i75, ige european hornet i75, ige"
272,специфические иммуноглобулины класса е к аллергенам яда пчелы медоноснойанализ крови на аллергию на пчелиный яд,"яд пчелы медоносной i1, ige honey bee venom i1, ige"
273,специфические иммуноглобулины класса е к аллергокомпоненту пыльцы березы ige антитела к мажорному аллергокомпоненту rbet v1 пыльцы березы specific immunoglobulins of class e to the allergenic component of birch pollen ige antibodies to the major allergenic component rbet v1 of birch pollen,"береза бородавчатая, rbet v1 t215, ige birch, betula verrucosa, rbet v1 t215, ige"
274,специфические иммуноглобулины класса е к аллергенам ольхи серойанализ крови на аллергию на ольху серую,"ольха серая t2, ige alnus incana t2, ige"
275,специфические иммуноглобулины класса е к аллергенам лещины обыкновеннойанализ крови на аллергию на лещину обыкновенную,"лещина обыкновенная t4, ige corylus avellana t4, ige"
276,специфические иммуноглобулины класса е к аллергенам подорожника ланцетовидногоанализ крови на аллергию на подорожник ланцетовидный,"подорожник w9, ige plantago lanceolata w9, ige"
277,специфические иммуноглобулины класса е к аллергенам дуба черешчатогоанализ крови на аллергию на дуб черешчатый,"дуб черешчатый t218, ige quercus robur t218, ige"
278,специфические иммуноглобулины класса е к аллергенам лебедыанализ крови на аллергию на лебеду,"лебеда w15, ige scale /atriplex lentiformis w15, ige"
279,специфические иммуноглобулины класса е к аллергенам липыанализ крови на аллергию на липу,"липа t208, ige tilia cordata t208, ige"
280,специфические иммуноглобулины класса е к аллергенам дуба белогоанализ крови на аллергию на дуб белый,"дуб t7, ige oak /quercus alba t7, ige"
281,специфические иммуноглобулины класса е к аллергенам тополя трехгранногоанализ крови на аллергию на тополь трехгранный,"тополь трехгранный  cottonwood/ populus deltoides t14, ige cottonwood/ populus deltoides, t14, ige"
282,специфические иммуноглобулины класса е к аллергенам одуванчикаанализ крови на аллергию на одуванчик,"одуванчик w8, ige dandelion/ taraxacum vulgare, w8, ige"
283,специфические иммуноглобулины класса е к аллергенам полыни горькойанализ крови на аллергию на полынь горькую,"полынь горькая w5, ige artemisia absinthium, w5, ige"
284,специфические иммуноглобулины класса е к аллергенам полыни обыкновеннойанализ крови на аллергию на полынь обыкновенную,"полынь обыкновенная w6, ige artemisia vulgaris, w6, ige"
285,специфические иммуноглобулины класса е к аллергенам березы бородавчатойанализ крови на аллергию на березу бородавчатую,"береза бородавчатая t3, ige birch, t3, ige"
286,специфические иммуноглобулины класса е к аллергену полыни обыкновенной art v3,"полынь обыкновенная, nart v3 w233, ige mugwort, artemisia vulgaris, nart v3 w233, ige"
287,специфические иммуноглобулины класса е к аллергенам пыльцы подсолнуха w204 specific immunoglobulins class e to sunflower w204,"подсолнечник w204, ige sunflower w204, ige"
288,специфические иммуноглобулины класса е к аллергенам пыльцы ромашки w206 specific immunoglobulins class e to chamomile w206,"ромашка w206, ige chamomile w206, ige"
289,специфические иммуноглобулины класса е к аллергенам ежи сборнойанализ крови на аллергию на ежу сборную,"ежа сборная g3 ige dactylis glomerata g3, ige"
290,специфические иммуноглобулины класса е к аллергенам плевела/райграса многолетнегоанализ крови на аллергию на плевел/райграс многолетний,"плевел/райграс многолетний, g5, ige lolium perenne, g5, ige"
291,специфические иммуноглобулины класса е к аллергенам овсяницы луговойанализ крови на аллергию на овсяницу луговую,"овсяница луговая, g4, ige festula elatior, g4, ige"
292,специфические иммуноглобулины класса е к аллергенам тимофеевки луговойанализ крови на аллергию на тимофеевку луговую,"тимофеевка луговая, g6, ige phleum pratense, g6, ige"
293,специфические иммуноглобулины класса е к аллергенам мятлика луговогоанализ крови на аллергию на мятлик луговой,"мятлик луговой, g8, ige poa pratensis, g8, ige"
294,специфические иммуноглобулины класса е к аллергенам платана кленолистногоанализ крови на аллергию на платан кленолистный,"платан кленолистный, t11, ige platanus acerifolia t11, ige"
295,специфические иммуноглобулины класса е к аллергену собак can f3,"собака, сывороточный альбумин, ncan f3 e221, ige dog, serum albumin, ncan f3 e221, ige"
296,специфические иммуноглобулины класса е к аллергенам таракана-прусакаанализ крови на аллергию на таракана-прусака,"таракан-прусак i6, ige red cockroach prusak/blatella germanica, i6, ige"
297,специфические иммуноглобулины класса е к аллергенам клеща домашней пыли dermatophagoides pteronyssinusанализ крови на аллергию на клещей dermatophagoides pteronyssinus,"клещ dermatophagoides pteronyssinus d1, ige"
298,специфические иммуноглобулины класса е к аллергенам клеща dermatophagoides farinaeанализ крови на аллергию на клещей домашней пыли dermatophagoides farinae,клещ dermatophagoides farinae d2 ige
299,специфические иммуноглобулины класса е к аллергенам домашней пылианализ крови на аллергию на домашнюю пыль,"домашняя пыль greer labs, inc h1, ige house dust/greer labs, inc, h1, ige"
300,специфические иммуноглобулины класса е к аллергенам клеща dermatophagoides microcerasанализ крови на аллергию на клеща dermatophagoides microceras,"клещ dermatophagoides microceras d3, ige dermatophagoides microceras d3, ige"
301,специфические иммуноглобулины класса е к пенициллину v c2 specific immunoglobulins class e to penicilloyl v c2,"пенициллин v c2, ige penicilloyl v c2, ige"
302,специфические иммуноглобулины класса е к аллергенам латексаанализ крови на аллергию на латекс,"латекс k82, ige latex, k82, ige"
303,специфические иммуноглобулины класса е к аллергенам пенициллина gанализ крови на аллергию на пенициллин g,"пенициллин g c1, ige penicilloyl g c1, ige"
304,специфические иммуноглобулины класса е к аллергенам формальдегидаанализ крови на аллергию на формалин,"формальдегид k80, ige formaldehyde/formalin k80, ige"
305,специфические иммуноглобулины класса е к аллергенам тмина анализ крови на аллергию на тмин,"тмин f265, ige caraway f265, ige"
306,специфические иммуноглобулины класса е к аллергенам персикаанализ крови на аллергию на персик,"персик, f95, ige peach, f95, ige"
307,специфические иммуноглобулины класса е к аллергенам розмаринаанализ крови на аллергию на розмарин,"розмарин, f335, ige rosemary, f335, ige"
308,специфические иммуноглобулины класса е к аллергенам трескианализ крови на аллергию на треску,"треска f3, ige codfish, f3, ige"
309,специфические иммуноглобулины класса е к аллергенам арахисаанализ крови на аллергию на арахис,"арахис f13, ige peanut, f13, ige"
310,специфические иммуноглобулины класса е к аллергенам соевых бобованализ крови на аллергию на соевые бобы,"соевые бобы f14 ige soybean, f14, ige"
311,специфические иммуноглобулины класса е к аллергенам фундука лесного орехаанализ крови на аллергию на фундук лесной орех,"фундук f17, ige hazelnut /corylus avellana, f17, ige"
312,специфические иммуноглобулины класса е к аллергенам крабового мясаанализ крови на аллергию на краба,"крабовое мясо f23, ige crab, f23, ige"
313,специфические иммуноглобулины класса е к аллергенам креветоканализ крови на аллергию на креветок,"креветки f24, ige shrimp, f24, ige"
314,специфические иммуноглобулины класса е к аллергенам томата помидораанализ крови на аллергию на томат помидор,"томаты f25, ige tomato/lycopersicon esculentum, f25, ige"
315,специфические иммуноглобулины класса е к аллергенам морковианализ крови на аллергию на морковь,"морковь f31, ige carrot, f31, ige"
316,специфические иммуноглобулины класса е к аллергенам бананованализ крови на аллергию на бананы,"банан, f92, ige banana, f92, ige"
317,специфические иммуноглобулины класса е к аллергенам кивианализ крови на аллергию на киви,"киви, f84, ige kiwi native nact d 1, f84, ige"
318,специфические иммуноглобулины класса е к аллергенам ананасаанализ крови на аллергию на ананас,"ананас, f210, ige pineapple, f210, ige"
319,специфические иммуноглобулины класса е к аллергенам кардамона анализ крови на аллергию на кардамон,"кардамон f267, ige cardamon f267, ige"
320,специфические иммуноглобулины класса е к аллергенам гвоздики анализ крови на аллергию на гвоздику,"гвоздика f268, ige clove f268, ige"
321,специфические иммуноглобулины класса е к аллергенам фенхеля анализ крови на аллергию на фенхель,"семя фенхеля f219, ige fennel seed f219, ige"
322,специфические иммуноглобулины класса е к аллергенам базилика анализ крови на аллергию на базилик,"базилик f269, ige basil f269, ige"
323,специфические иммуноглобулины класса е к аллергенам имбиря анализ крови на аллергию на имбирь,"имбирь f270, ige ginger f270, ige"
324,специфические иммуноглобулины класса е к аллергенам аниса анализ крови на аллергию на анис,"анис f271, ige anise f271, ige"
325,специфические иммуноглобулины класса е к аллергенам куриного мясаанализ крови на аллергию на куриное мясо,"куриное мясо f83, ige chicken, f83, ige"
326,специфические иммуноглобулины класса е к аллергенам лимонаанализ крови на аллергию на лимон,"лимон f208, ige lemon/citrus limon, f208, ige"
327,специфические иммуноглобулины класса е к аллергенам шоколадаанализ крови на аллергию на шоколад,"шоколад f105, ige chocolate, f105, ige"
328,специфические иммуноглобулины класса е к аллергенам овсаанализ крови на аллергию на овес,"овес f7, ige oat/ avena sativa, f7, ige"
329,специфические иммуноглобулины класса е к аллергенам пекарских дрожжейанализ крови на аллергию на пекарские дрожжи,"пекарские дрожжи f45, ige saccharomyces cerevisiae, f45, ige"
330,специфические иммуноглобулины класса е к аллергенам клубники/земляникианализ крови на аллергию на клубнику/землянику,"клубника/земляника f44, ige strawberry/fragaria vesca, f44, ige"
331,специфические иммуноглобулины класса е к аллергенам грейпфрутаанализ крови на аллергию на грейпфрут,"грейпфрут f209, ige grapefruit/citrus paradise, f209, ige"
332,специфические иммуноглобулины класса е к аллергенам яичного желткаанализ крови на аллергию на яичный желток,"яичный желток f75 ige egg yolk, f75, ige"
333,специфические иммуноглобулины класса е к аллергенам пшеничной мукианализ крови на аллергию на пшеницу,"пшеница f4 ige wheat, f4, ige"
334,специфические иммуноглобулины класса е к аллергенам мяса индейкианализ крови на аллергию на индейку,"мясо индейки f284, ige turkey meat f284, ige"
335,специфические иммуноглобулины класса е к аллергенам цельного куриного яйцаанализ крови на аллергию на яйцо куриное,"яйцо куриное цельное f245, ige whole egg f245, ige"
